one two
2.68243e+22 4.67891e+22
5.09174e+22 8.55053e+22
5.05329e+23 5.04997e+23
5.05329e+23 5.04997e+23
5.05329e+23 5.04997e+23
5.05329e+23 5.04997e+23
2.60029e+23 6.86591e+22
2.60029e+23 6.86591e+22
2.60029e+23 6.86591e+22
2.60029e+23 6.86591e+22
1.78142e+41 2.94899e+41
1.57477e+41 2.17857e+41
8.54566e+40 1.14278e+41
5.50704e+41 3.30402e+41
6.25226e+26 4.53542e+26
278.673 318.659
278.673 318.659
278.673 318.659
278.673 318.659
278.673 318.659
278.673 318.659
278.673 318.659
278.673 318.659
278.673 318.659
278.673 318.659
278.673 318.659
278.673 318.659
278.673 318.659
278.673 318.659
114.032 41.0676
114.032 41.0676
114.032 41.0676
114.032 41.0676
6.46426e+33 1.11312e+34
1.18786e+34 1.67654e+34
1.18786e+34 1.67654e+34
8.82144e+33 3.21773e+33
8.82144e+33 3.21773e+33
1.962e+64 3.15599e+64
2.63666e+66 2.30597e+66
1.32667e+65 1.18407e+65
2.44303e+65 1.30956e+65
2.44303e+65 1.30956e+65
3.46135e+54 4.84589e+54
3.46135e+54 4.61515e+54
2.96392e+55 1.78031e+55
3.75484e+29 6.20397e+29
3.75391e+29 5.9843e+29
3.92322e+29 6.02198e+29
3.4747e+30 4.42291e+30
3.4747e+30 4.42291e+30
2.69461e+30 2.51144e+30
1.32513e+38 1.34693e+38
1.32017e+38 1.12539e+38
3.20416e-08 5.90236e-08
3.20416e-08 5.90236e-08
3.20416e-08 5.90236e-08
3.20416e-08 5.90236e-08
4.10312e-07 7.84111e-07
4.10312e-07 7.84111e-07
4.10312e-07 7.84111e-07
4.10312e-07 7.84111e-07
4.10312e-07 7.84111e-07
4.10312e-07 7.84111e-07
8.9139e-08 1.03378e-07
8.9139e-08 1.03378e-07
8.9139e-08 1.03378e-07
8.9139e-08 1.03378e-07
8.9139e-08 1.03378e-07
8.9139e-08 1.03378e-07
8.9139e-08 1.03378e-07
8.9139e-08 1.03378e-07
8.9139e-08 1.03378e-07
8.9139e-08 1.03378e-07
8.9139e-08 1.03378e-07
8.9139e-08 1.03378e-07
8.9139e-08 1.03378e-07
8.9139e-08 1.03378e-07
8.9139e-08 1.03378e-07
4.71516e-08 2.6984e-08
