one two
5.05329e+23 5.04997e+23
278.673 318.659
278.673 318.659
278.673 318.659
278.673 318.659
278.673 318.659
278.673 318.659
114.032 41.0676
3.75484e+29 6.20397e+29
3.75484e+29 6.20397e+29
4.10312e-07 7.84111e-07
4.10312e-07 7.84111e-07
8.9139e-08 1.03378e-07
8.9139e-08 1.03378e-07
8.9139e-08 1.03378e-07
4.71516e-08 2.6984e-08
1.53386e+24 2.03802e+23
4.66762e+78 4.63608e+78
4.66762e+78 4.63608e+78
6.65588e+36 4.19321e+36
6.65588e+36 4.19321e+36
6.65588e+36 4.19321e+36
6.65588e+36 4.19321e+36
1.00875e+63 1.50047e+63
1.38869e+62 1.79163e+62
1.05538e+62 1.21971e+62
4.76336e+61 2.604e+61
9.97146e+21 1.7256e+22
1.47843e+22 2.15776e+22
1.47843e+22 2.15776e+22
2.3643e+75 2.77647e+75
6.12595e+75 5.50591e+75
2.20573e+90 3.72219e+90
5.84135e+96 9.01141e+96
1.1013e+60 1.76099e+60
1.53996e+59 1.88827e+59
7.2764e+58 8.20248e+58
7.2764e+58 8.20248e+58
2.9735e+59 2.43287e+59
6.86063e+13 1.09518e+14
6.86063e+13 1.09518e+14
1.48015e+13 1.78585e+13
1.48015e+13 1.78585e+13
1.22599e+13 1.00138e+13
3.04328e+10 4.88061e+10
3.04328e+10 4.88061e+10
1.32488e+80 1.36216e+80
2.15747e+64 4.14869e+64
4.73884e+63 5.05784e+63
6.54222e+63 2.59689e+63
1.59057e+60 2.44574e+60
3.21469e+71 5.18067e+71
2.59004e+69 2.92058e+69
2.28374e+54 3.42548e+54
2.28374e+54 3.42548e+54
1.33346e+37 2.4939e+37
9.57416e+21 1.56585e+22
8.89935e+20 1.26441e+21
4.95254e+20 4.34335e+20
1.85285e+39 2.86525e+39
5.60484e+40 6.27396e+40
7.39096e+56 1.37548e+57
4.74513e+37 4.19215e+37
3.83347e+28 2.67274e+28
1.06116e+43 1.49804e+43
5.41877e+41 6.80267e+41
1.40169e+41 1.58337e+41
1.40169e+41 1.58337e+41
5.44193e+41 4.4524e+41
3.64463e+79 4.83384e+79
1.09229e+60 1.54012e+60
1.09229e+60 1.54012e+60
5.05339e+63 6.74377e+63
117650 176043
1.32703e+18 2.01068e+18
2.04329e+09 2.89963e+09
2.26798e+39 1.98217e+39
6.9284e+18 1.19315e+19
6.9284e+18 1.19315e+19
4.90906e+19 6.28516e+19
2.02829e+46 3.25856e+46
2.02829e+46 3.25856e+46
2.54749e+75 3.23414e+75
3.51614e+51 5.43734e+51
1.17332e+53 1.20524e+53
6.9868e+09 7.28637e+09
2.88131e+10 4.69833e+10
3.9599e+28 4.5122e+28
1.07109e+19 1.74595e+19
7.84689e+18 9.16759e+18
7.84689e+18 9.16759e+18
7.84689e+18 9.16759e+18
9.9686e+17 8.6309e+17
2.32126e+20 3.98348e+20
4.17828e+20 6.53262e+20
2.13818e+09 2.61688e+09
2.13818e+09 2.61688e+09
2.13818e+09 2.61688e+09
2.81799e+08 2.44202e+08
1.03795e+30 1.60708e+30
1.03795e+30 1.60708e+30
4.62977e+18 7.65799e+18
4.62977e+18 7.65799e+18
9.10632e+55 8.81006e+55
